City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Pisco,PE,2/12/2022 7:55,-13.7,-76.2167,68.05,77,100,9.22,light rain
118,Khromtau,KZ,2/12/2022 7:55,50.2503,58.4347,26.96,95,100,16.26,overcast clouds
119,Lucapa,AO,2/12/2022 7:55,-8.4192,20.7447,75.38,74,100,1.34,overcast clouds
120,Ahipara,NZ,2/12/2022 7:55,-35.1667,173.1667,76.71,87,100,26.78,overcast clouds
121,Jinxi,CN,2/12/2022 7:55,30.4323,116.2922,41.97,91,100,2.26,overcast clouds
122,Barrow,US,2/12/2022 7:55,71.2906,-156.7887,-34.58,100,0,6.91,clear sky
123,Kudahuvadhoo,MV,2/12/2022 7:55,2.6708,72.8944,81.63,68,70,5.59,broken clouds
124,Sojat,IN,2/12/2022 7:55,25.9167,73.6667,77.63,16,0,1.48,clear sky
125,Hovd,MN,2/12/2022 7:55,48.0056,91.6419,-4.54,89,63,3.91,broken clouds
126,Tiksi,RU,2/12/2022 7:55,71.6872,128.8694,-9.51,92,100,16.49,overcast clouds
127,Erenhot,CN,2/12/2022 7:55,43.6475,111.9767,9.64,68,13,5.59,few clouds
128,Altamont,US,2/12/2022 7:55,42.2068,-121.7372,40.77,61,0,4,clear sky
129,Qaanaaq,GL,2/12/2022 7:55,77.484,-69.3632,-22.31,48,0,7.96,clear sky
130,Axim,GH,2/12/2022 7:55,4.8699,-2.2405,80.78,79,77,6.89,broken clouds
131,Chifeng,CN,2/12/2022 7:55,42.2683,118.9636,19.69,58,100,8.57,overcast clouds
132,Cabo San Lucas,MX,2/12/2022 7:55,22.8909,-109.9124,66.51,74,0,5.55,clear sky
133,Te Anau,NZ,2/12/2022 7:55,-45.4167,167.7167,50.54,68,100,6.51,overcast clouds
134,Cidreira,BR,2/12/2022 7:55,-30.1811,-50.2056,72.73,84,1,15.41,clear sky
135,Padang,ID,2/12/2022 7:55,-0.9492,100.3543,87.85,64,99,6.91,overcast clouds
136,Mogwase,ZA,2/12/2022 7:55,-25.185,27.2665,80.47,24,0,9.37,clear sky
137,Chicama,PE,2/12/2022 7:56,-7.8447,-79.1469,71.01,78,96,4.09,overcast clouds
138,Tasiilaq,GL,2/12/2022 7:56,65.6145,-37.6368,1.56,61,72,5.86,broken clouds
139,Mantua,IT,2/12/2022 7:56,45.1667,10.7833,43.09,81,44,1.01,scattered clouds
140,Touba,CI,2/12/2022 7:56,8.2833,-7.6833,70.83,20,5,0.74,clear sky
141,Bethel,US,2/12/2022 7:56,41.3712,-73.414,50.65,61,87,8.63,overcast clouds
142,Dingle,PH,2/12/2022 7:56,10.9995,122.6711,80.89,80,100,11.7,light rain
143,Awjilah,LY,2/12/2022 7:56,29.1081,21.2869,55.81,45,0,7.52,clear sky
144,Qaqortoq,GL,2/12/2022 7:56,60.7167,-46.0333,27.68,81,100,11.25,overcast clouds
